filename,track,measure,set
ashover10.csv,0,0,train
ashover10.csv,0,1,train
ashover10.csv,0,2,train
ashover10.csv,0,3,train
ashover10.csv,0,4,train
ashover10.csv,0,5,train
ashover10.csv,0,6,train
ashover10.csv,0,7,train
ashover10.csv,0,8,train
ashover10.csv,0,9,train
ashover10.csv,0,10,train
ashover10.csv,0,11,train
ashover10.csv,0,12,train
ashover10.csv,0,13,train
ashover10.csv,0,14,train
ashover10.csv,0,15,train
ashover10.csv,0,16,train
ashover10.csv,0,17,train
ashover10.csv,0,18,train
ashover10.csv,0,19,train
ashover10.csv,0,20,train
ashover10.csv,0,21,train
ashover10.csv,0,22,train
ashover10.csv,0,23,train
ashover10.csv,0,24,train
ashover10.csv,0,25,train
ashover10.csv,0,26,train
ashover10.csv,0,27,train
ashover10.csv,0,28,train
ashover10.csv,0,29,train
ashover10.csv,0,30,train
ashover10.csv,0,31,train
ashover10.csv,0,32,train
ashover10.csv,0,33,train
ashover10.csv,0,34,train
ashover10.csv,0,35,train
ashover10.csv,0,36,train
ashover10.csv,0,37,train
ashover10.csv,0,38,train
ashover10.csv,0,39,train
ashover10.csv,0,40,train
ashover10.csv,0,41,train
ashover10.csv,0,42,train
ashover10.csv,0,43,train
ashover10.csv,0,44,train
ashover10.csv,0,45,train
ashover10.csv,0,46,train
ashover10.csv,0,47,train
ashover10.csv,0,48,train
ashover10.csv,0,49,train
ashover10.csv,0,50,train
ashover10.csv,0,51,train
ashover10.csv,0,52,train
ashover10.csv,0,53,train
ashover10.csv,0,54,train
ashover10.csv,0,55,train
ashover10.csv,0,56,train
ashover10.csv,0,57,train
ashover10.csv,0,58,train
ashover10.csv,0,59,train
ashover10.csv,0,60,train
ashover10.csv,0,61,train
ashover10.csv,0,62,train
ashover10.csv,0,63,train
ashover12.csv,0,0,train
ashover12.csv,0,1,train
ashover12.csv,0,2,train
ashover12.csv,0,3,train
ashover12.csv,0,4,train
ashover12.csv,0,5,train
ashover12.csv,0,6,train
ashover12.csv,0,7,train
ashover12.csv,0,8,train
ashover12.csv,0,9,train
ashover12.csv,0,10,train
ashover12.csv,0,11,train
ashover12.csv,0,12,train
ashover12.csv,0,13,train
ashover12.csv,0,14,train
ashover12.csv,0,15,train
ashover12.csv,0,16,train
ashover12.csv,0,17,train
ashover12.csv,0,18,train
ashover12.csv,0,19,train
ashover12.csv,0,20,train
ashover12.csv,0,21,train
ashover12.csv,0,22,train
ashover12.csv,0,23,train
ashover12.csv,0,24,train
ashover12.csv,0,25,train
ashover12.csv,0,26,train
ashover12.csv,0,27,train
ashover12.csv,0,28,train
ashover12.csv,0,29,train
ashover12.csv,0,30,train
ashover12.csv,0,31,train
ashover13.csv,0,0,train
ashover13.csv,0,1,train
ashover13.csv,0,2,train
ashover13.csv,0,3,train
ashover13.csv,0,4,train
ashover13.csv,0,5,train
ashover13.csv,0,6,train
ashover13.csv,0,7,train
ashover13.csv,0,8,train
ashover13.csv,0,9,train
ashover13.csv,0,10,train
ashover13.csv,0,11,train
ashover13.csv,0,12,train
ashover13.csv,0,13,train
ashover13.csv,0,14,train
